id,name,pad_type,latitude,longitude,retired,location_id,changed,url,wiki_url
56,"107/2, Kapustin Yar, Russia",0,48.540016000000000,46.297768000000000,0,12,2017-02-21 00:00:00,,
57,"Start Launch Site, Svobodny Cosmodrome, Russia",0,51.791661000000000,128.184969000000000,0,13,2017-02-21 00:00:00,,
58,"Yasny Launch Site ICBM silo (R 36M2/Dnepr), Dombarovskiy, Russia",0,51.036000000000000,59.958000000000000,0,14,2017-02-21 00:00:00,,
59,"Launch Platform Odyssey, Pacific",0,0.000000000000000,-154.000000000000000,0,15,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Odyssey_(launch_platform)
60,"Space Launch Complex 17A, Cape Canaveral, FL",0,28.447200000000000,-80.565000000000000,1,16,2017-02-21 00:00:00,,
61,"Space Launch Complex 17B, Cape Canaveral, FL",0,28.445800000000000,-80.565700000000000,1,16,2017-02-21 00:00:00,,
62,"Space Launch Complex 37B, Cape Canaveral, FL",0,28.531700000000000,-80.564950000000000,0,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral_Air_Force_Station_Space_Launch_Complex_37
65,"Space Launch Complex 5, Cape Canaveral, FL",0,28.439400000000000,-80.573300000000000,1,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral_Air_Force_Station_Launch_Complex_5
67,"Space Launch Complex 11, Cape Canaveral, FL",0,28.475300000000000,-80.539500000000000,1,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral_Air_Force_Station_Launch_Complex_11
68,"Space Launch Complex 12, Cape Canaveral, FL",0,28.480607000000000,-80.541938000000000,1,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral_Air_Force_Station_Launch_Complex_12
69,"Space Launch Complex 13, Cape Canaveral, FL",0,28.485799000000000,-80.544400000000000,0,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral_Air_Force_Station_Launch_Complex_13
70,"Space Launch Complex 14, Cape Canaveral, FL",0,28.491030000000000,-80.546870000000000,1,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral_Air_Force_Station_Launch_Complex_14
71,"Space Launch Complex 15, Cape Canaveral, FL",0,28.496360000000000,-80.549237000000000,1,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral_Air_Force_Station_Launch_Complex_15
72,"Space Launch Complex 16, Cape Canaveral, FL",0,28.501626000000000,-80.551800000000000,0,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral_Air_Force_Station_Launch_Complex_16
73,"Space Launch Complex 18A, Cape Canaveral, FL",0,28.450614000000000,-80.562250000000000,1,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral_Air_Force_Station_Launch_Complex_18
74,"Space Launch Complex 18B, Cape Canaveral, FL",0,28.448994000000000,-80.561830000000000,1,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral_Air_Force_Station_Launch_Complex_18
75,"Space Launch Complex 19, Cape Canaveral, FL",0,28.506898000000000,-80.554169000000000,1,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral_Air_Force_Station_Launch_Complex_19
76,"Space Launch Complex 20, Cape Canaveral, FL",0,28.512197000000000,-80.556642000000000,1,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral_Air_Force_Station_Launch_Complex_20
77,"Space Launch Complex 26A, Cape Canaveral, FL",0,28.444630000000000,-80.570520000000000,1,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral_Air_Force_Station_Launch_Complex_26
78,"Space Launch Complex 26B, Cape Canaveral, FL",0,28.443300000000000,-80.571200000000000,1,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral_Air_Force_Station_Launch_Complex_26
79,"Space Launch Complex 34, Cape Canaveral, FL",0,28.521811000000000,-80.561130000000000,1,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral_Air_Force_Station_Launch_Complex_34
80,"Space Launch Complex 36A, Cape Canaveral, FL",0,28.471300000000000,-80.537800000000000,0,16,2017-02-21 00:00:00,,
81,"Space Launch Complex 36B, Cape Canaveral, FL",0,28.468200000000000,-80.541000000000000,0,16,2017-02-21 00:00:00,,
82,"Space Launch Complex 37A, Cape Canaveral, FL",0,28.533482000000000,-80.568101000000000,1,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral_Air_Force_Station_Space_Launch_Complex_37
84,"Space Launch Complex 40, Cape Canaveral, FL",0,28.561941220000000,-80.577357360000000,0,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral_Air_Force_Station_Space_Launch_Complex_40
85,"Space Launch Complex 41, Cape Canaveral, FL",0,28.583410250000000,-80.583036440000000,0,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Cape_Canaveral_Air_Force_Station_Space_Launch_Complex_41
86,"Space Launch Complex 46, Cape Canaveral, FL",0,28.458400000000000,-80.528400000000000,0,16,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Spaceport_Florida_Launch_Complex_46
87,"Launch Complex 39A, Kennedy Space Center, FL",0,28.608226810000000,-80.604281860000000,0,17,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Kennedy_Space_Center_Launch_Complex_39#Launch_Pad_39A
88,"Launch Complex 39B, Kennedy Space Center, FL",0,28.627112330000000,-80.621015030000000,0,17,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Kennedy_Space_Center_Launch_Complex_39#Launch_Pad_39B
89,"Space Launch Complex 2W, Vandenberg AFB, CA",0,34.755600000000000,-120.622400000000000,0,18,2017-02-21 00:00:00,,
90,"Space Launch Complex 3E, Vandenberg AFB, CA",0,34.640000000000000,-120.589500000000000,0,18,2017-02-21 00:00:00,,
91,"Space Launch Complex 6, Vandenberg AFB, CA",0,34.581500000000000,-120.626200000000000,0,18,2017-02-21 00:00:00,,
92,"Space Launch Complex 8, Vandenberg AFB, CA",0,34.576350000000000,-120.632450000000000,0,18,2017-02-21 00:00:00,,
94,"Space Launch Complex 1E, Vandenberg AFB, CA",0,34.756000000000000,-120.626300000000000,1,18,2017-02-21 00:00:00,,
95,"Space Launch Complex 1W, Vandenberg AFB, CA",0,34.757200000000000,-120.630300000000000,1,18,2017-02-21 00:00:00,,
96,"Space Launch Complex 2E, Vandenberg AFB, CA",0,34.751600000000000,-120.619200000000000,1,18,2017-02-21 00:00:00,,
99,"Space Launch Complex 3W, Vandenberg AFB, CA",0,34.644000000000000,-120.593000000000000,1,18,2017-02-21 00:00:00,,
100,"Space Launch Complex 4E, Vandenberg AFB, CA",0,34.632000000000000,-120.611000000000000,0,18,2017-02-21 00:00:00,,
101,"Space Launch Complex 4W, Vandenberg AFB, CA",0,34.633100000000000,-120.615900000000000,1,18,2017-02-21 00:00:00,,
102,"Space Launch Complex 5, Vandenberg AFB, CA",0,34.607400000000000,-120.624400000000000,1,18,2017-02-21 00:00:00,,
104,"Space Launch Complex 10E, Vandenberg AFB, CA",0,34.762600000000000,-120.621300000000000,1,18,2017-02-21 00:00:00,,
105,"Space Launch Complex 10W, Vandenberg AFB, CA",0,34.763600000000000,-120.624400000000000,1,18,2017-02-21 00:00:00,,
106,"Space Launch Complex 10N, Vandenberg AFB, CA",0,34.766300000000000,-120.622700000000000,1,18,2017-02-21 00:00:00,,
109,"Launch Area 0 A, Wallops Island, Virginia",0,37.833700000000000,-75.488100000000000,0,19,2017-02-21 00:00:00,,
110,"Launch Area 0 B, Wallops Island, Virginia",0,37.831000000000000,-75.491100000000000,0,19,2017-02-21 00:00:00,,
111,"Launch Area 3, Wallops Island, Virginia",0,37.849500000000000,-75.472500000000000,0,19,2017-02-21 00:00:00,,
115,"Unknown Pad, Jiuquan",0,40.958000000000000,100.291000000000000,0,1,2017-02-21 00:00:00,,
116,"Unknown Pad, Taiyuan",0,38.849000000000000,111.608000000000000,0,2,2017-02-21 00:00:00,,
117,"Unknown Pad, Kourou",0,5.239000000000000,-52.769000000000000,0,3,2017-02-21 00:00:00,http://www.esa.int/Our_Activities/Launchers/Europe_s_Spaceport/Europe_s_Spaceport2,https://en.wikipedia.org/wiki/Guiana_Space_Centre
118,"Unknown Pad, Hammaguir",0,30.871000000000000,-3.008000000000000,0,4,2017-02-21 00:00:00,,
119,"Unknown Pad, Sriharikota",0,13.733000000000000,80.235000000000000,0,5,2017-02-21 00:00:00,,
120,"Unknown Pad, Iran",0,35.258416000000000,53.953567000000000,0,6,2017-02-21 00:00:00,,
121,"Unknown Pad, Kenya",0,2.938333000000000,40.212500000000000,1,7,2017-02-21 00:00:00,,
122,"Unknown Pad, Kagoshima",0,31.251000000000000,131.082000000000000,1,8,2017-02-21 00:00:00,,
123,"Unknown Pad, Tanegashima, Japan",0,30.401000000000000,130.977000000000000,0,9,2017-02-21 00:00:00,,
124,"Unknown Pad, Baikonur Cosmodrome, Kazakhstan",0,45.920000000000000,63.342000000000000,0,10,2017-02-21 00:00:00,,
125,"Unknown Pad, Plesetsk Cosmodrome, Russia",0,62.925556000000000,40.577778000000000,0,11,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Plesetsk_Cosmodrome
126,"Unknown Pad, Kapustin Yar, Russia",0,48.540500000000000,46.300000000000000,0,12,2017-02-21 00:00:00,,
127,"Unknown Pad, Svobodny Cosmodrome, Russia",0,51.805200000000000,128.232100000000000,0,13,2017-02-21 00:00:00,,
128,"Unknown Pad, Dombarovskiy, Russia",0,51.036000000000000,59.958000000000000,0,14,2017-02-21 00:00:00,,
129,"Unknown Pad, Sea Launch",0,0.000000000000000,0.000000000000000,0,15,2019-04-18 08:06:20,,
130,"Unknown Pad, Cape Canaveral, FL",0,28.458000000000000,-80.528000000000010,0,16,2017-02-21 00:00:00,,
131,"Launch Complex 39C, Kennedy Space Center, FL",0,28.608000000000000,-80.604000000000000,0,17,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Kennedy_Space_Center_Launch_Complex_39#Launch_Pad_39C
133,"Unknown Pad, Wallops Island, Virginia",0,37.834000000000000,-75.488000000000000,0,19,2017-02-21 00:00:00,,
134,"Unknown Pad, Woomera",0,-30.972000000000000,136.475000000000000,1,20,2017-02-21 00:00:00,,
135,"Unknown Pad, Unknown Location",0,0.000000000000000,0.000000000000000,0,37,2017-02-21 00:00:00,,
137,"Ariane Launch Area 3, Kourou",0,5.239000000000000,-52.768000000000000,0,3,2017-02-21 00:00:00,http://www.esa.int/Our_Activities/Launchers/Europe_s_Spaceport/Europe_s_Spaceport2,http://en.wikipedia.org/wiki/ELA-3
138,"Yoshinobu Launch Complex, Tanegashima, Japan",0,30.402222000000000,130.975000000000000,0,9,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Yoshinobu_Launch_Complex
140,Kaitorete Spit Launch Complex,0,-43.828334000000000,172.536290000000000,0,24,2017-02-21 00:00:00,,
142,"Launch Complex 2 (LC-2), Xichang Satellite Launch Center",0,28.246017000000000,102.026556000000000,0,25,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Xichang_Satellite_Launch_Center
143,"Launch Complex 3 ( LC-3 ) ( LA-1 ), Xichang Satellite Launch Center",0,28.246017000000000,102.026556000000000,0,25,2017-02-21 00:00:00,,https://en.wikipedia.org/wiki/Xichang_Satellite_Launch_Center
144,Satish Dhawan Space Centre First Launch Pad,0,13.733000000000000,80.235000000000000,0,5,2017-02-21 00:00:00,https://en.wikipedia.org/wiki/Satish_Dhawan_Space_Centre_First_Launch_Pad,https://en.wikipedia.org/wiki/Satish_Dhawan_Space_Centre_First_Launch_Pad
145,Satish Dhawan Space Centre Second Launch Pad,0,13.719900000000000,80.230400000000000,0,5,2017-02-21 00:00:00,https://en.wikipedia.org/wiki/Satish_Dhawan_Space_Centre_Second_Launch_Pad,https://en.wikipedia.org/wiki/Satish_Dhawan_Space_Centre_Second_Launch_Pad
